checkpoint,lambda_train,mean_return,mean_iou,mean_cost
pareto_lam_0p0300.pt,0.03,181.26816059278767,0.9173283029639383,0.36624999999999996
pareto_lam_0p0800.pt,0.08,177.89325967975202,0.9208912983987596,0.3928125
pareto_lam_0p1500.pt,0.15,165.67379348906763,0.8707908424453388,0.2828125
pareto_lam_0p2500.pt,0.25,165.90278833598657,0.9014670666799324,0.2878125
pareto_lam_0p3800.pt,0.38,155.82547425215873,0.8824398712607935,0.271875
pareto_lam_0p5500.pt,0.55,163.81764293669823,0.8770100896834914,0.1053125
