step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.984349,0.446513,0.00007000,1000,,,,-0.11880780,0.80726486,145.43699418,0.96284113,0.91868501,85.35000000,0.34500000,5
2000,0.968682,0.440288,0.00007000,2000,0.05335987,0.25105644,1.08826108,3.36797643,3.29938221,143.91774000,0.95675198,0.90615711,83.52500000,0.33350000,10
3000,0.953016,0.433235,0.00006995,3000,0.13890259,0.38607169,1.02526214,15.06717205,15.01329803,135.42658758,0.96425013,0.90830118,77.41666667,0.33045493,15
4000,0.937349,0.425441,0.00006983,4000,0.38778254,0.73178574,1.60670600,25.06571198,25.04918098,135.33370782,0.96564924,0.90530513,76.42500000,0.32963781,21
5000,0.921682,0.419478,0.00006965,5000,0.65688202,1.04373256,1.93737805,33.19173050,33.29834366,136.92710119,0.96688792,0.90894407,75.58750000,0.32538781,26
6000,0.906016,0.410778,0.00006939,6000,0.90484497,1.31352674,2.15021785,40.57632065,40.41986465,138.61214622,0.96949182,0.91317533,74.85000000,0.32288781,31
7000,0.890349,0.399341,0.00006907,7000,1.11823265,1.53954410,2.28192795,45.83848572,45.89605331,146.03535440,0.96327647,0.90822389,77.18750000,0.31504661,36
8000,0.874682,0.388728,0.00006868,8000,1.29648168,1.72617290,2.39251271,50.73697281,50.43748093,151.24082123,0.96007956,0.91599201,77.76250000,0.31125000,41
9000,0.859016,0.378678,0.00006822,9000,1.45300551,1.88836266,2.43571000,55.00542831,54.59010696,151.29688386,0.95652756,0.90967899,76.40000000,0.30625000,46
10000,0.843349,0.366603,0.00006770,10000,1.57125248,2.01128327,2.53078540,59.11897278,58.47705078,152.49325520,0.95664881,0.90931150,75.27500000,0.30025000,51
11000,0.827682,0.343818,0.00006712,11000,1.70848352,2.15145762,2.58517170,61.71242905,60.52836609,142.89238446,0.96545721,0.93108087,67.76250000,0.28673016,58
12000,0.812016,0.330998,0.00006647,12000,1.78153170,2.22719730,2.62422022,64.41552734,64.65486145,140.81973476,0.97005803,0.93714282,64.45000000,0.27911752,63
13000,0.796349,0.313636,0.00006576,13000,1.89848144,2.34605302,2.65009454,67.04895782,67.22107697,141.74295047,0.97114232,0.93329084,62.51250000,0.27061752,68
14000,0.780682,0.296423,0.00006498,14000,1.98212681,2.43139480,2.64961700,68.75678253,68.15915680,143.05285590,0.96981108,0.93162665,60.88750000,0.26411752,73
15000,0.765016,0.276748,0.00006415,15000,2.03155123,2.48224669,2.66946472,70.31036377,71.33569336,157.48274439,0.96595310,0.90933368,67.60000000,0.27100000,79
16000,0.749349,0.256423,0.00006326,16000,2.07347641,2.52486485,2.77050990,71.59773254,71.68105316,157.98514649,0.96344832,0.90213417,64.91250000,0.25700000,84
17000,0.733682,0.250000,0.00006232,17000,2.11768058,2.56993918,2.73737846,72.93873596,73.34593964,160.41563549,0.96362921,0.90732997,63.88750000,0.24975000,89
18000,0.718016,0.250000,0.00006132,18000,2.12974960,2.58182054,2.66909488,73.85439301,72.53043365,159.45676369,0.96314890,0.89563968,61.76250000,0.23955025,94
19000,0.702349,0.250000,0.00006027,19000,2.13678320,2.58931551,2.68786248,74.46729279,73.38364410,164.25903255,0.95952705,0.90081193,62.11250000,0.23530025,99
20000,0.686682,0.250000,0.00005917,20000,2.15345210,2.60648295,2.74893751,75.73114777,75.72793579,164.37662125,0.95990293,0.90001812,62.22500000,0.23705025,104
21000,0.671016,0.250000,0.00005803,21000,2.15707740,2.60999221,2.70130076,75.54143524,75.50409698,163.32612194,0.95818088,0.89556274,62.97500000,0.24405025,109
22000,0.655349,0.250000,0.00005684,22000,2.18308169,2.63610801,2.74855223,75.77701569,75.68248749,164.06439983,0.95780548,0.90222825,65.52500000,0.25775000,114
