step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
37000,0.420349,0.250000,0.00003534,37000,2.14871107,2.60112444,2.78958793,76.39107513,76.58739471,128.56061326,0.96911400,0.89677458,47.15000000,0.21056336,198
38000,0.404682,0.250000,0.00003380,38000,2.14704270,2.59956239,2.78120672,76.36313629,76.75555420,137.63126562,0.96501889,0.89369683,47.93750000,0.20466942,203
39000,0.389016,0.250000,0.00003226,39000,2.14948295,2.60155676,2.79593786,76.41097260,76.55515289,133.97718511,0.96745434,0.88540628,46.36250000,0.20103491,209
40000,0.373349,0.250000,0.00003073,40000,2.12518461,2.57732906,2.83588687,76.48845673,76.56912231,145.89627662,0.96537897,0.87570487,47.96250000,0.19704711,214
41000,0.357682,0.250000,0.00002920,41000,2.13000842,2.58213041,2.80900837,76.20748901,76.46537018,147.72408881,0.96297723,0.85954978,47.92500000,0.19628801,220
42000,0.342016,0.250000,0.00002769,42000,2.13071293,2.58303664,2.81599434,76.78160858,75.75406647,143.79512880,0.96365757,0.85002858,46.42500000,0.19537134,225
43000,0.326349,0.250000,0.00002620,43000,2.15630987,2.60902940,2.82362007,76.70812988,75.80030823,154.67344862,0.95905300,0.86506126,51.87500000,0.21747619,230
44000,0.310682,0.250000,0.00002472,44000,2.14136881,2.59363304,2.81608818,76.92680359,76.96090698,153.71718341,0.95673594,0.86433581,49.53750000,0.20800969,236
45000,0.295016,0.250000,0.00002326,45000,2.12762274,2.57970287,2.85956831,76.79544830,74.12531281,154.41797064,0.95726154,0.87044213,51.70000000,0.22225969,241
46000,0.279349,0.250000,0.00002183,46000,2.12175153,2.57368275,2.81892071,76.43186188,74.98844910,152.53998376,0.95662588,0.88286665,52.33750000,0.22898191,246
47000,0.263682,0.250000,0.00002043,47000,2.12718068,2.57937284,2.83692694,76.38978577,75.24170685,153.01254286,0.95850099,0.88314382,50.62500000,0.22073191,251
48000,0.248016,0.250000,0.00001906,48000,2.10357098,2.55529591,2.85756547,76.26779938,74.61952972,155.51632630,0.95467671,0.88354813,56.13750000,0.24755556,256
49000,0.232349,0.250000,0.00001772,49000,2.11956945,2.57157546,2.84766795,76.56278229,76.32882690,153.98601238,0.95112001,0.87481056,55.25000000,0.24380556,261
50000,0.216682,0.250000,0.00001641,50000,2.09904073,2.55076401,2.81788866,76.07421875,76.29754639,159.37373127,0.95222389,0.86891291,56.32500000,0.24150000,266
51000,0.201016,0.250000,0.00001515,51000,2.09989522,2.55136964,2.81631326,75.84322357,76.02547455,158.94095136,0.95359031,0.86290376,53.06250000,0.22650000,271
52000,0.185349,0.250000,0.00001392,52000,2.09984718,2.55106513,2.83285376,75.89055634,75.66104889,161.27396888,0.95735004,0.87052797,49.70000000,0.20900000,276
53000,0.169682,0.250000,0.00001274,53000,2.07512679,2.52681584,2.80151903,75.34585571,75.78793335,158.25441480,0.96136318,0.88299145,46.75000000,0.19991667,282
54000,0.154016,0.250000,0.00001160,54000,2.08892682,2.54058417,2.80143593,75.33971405,75.57389832,156.01611581,0.96090620,0.89630658,46.61250000,0.20562211,287
55000,0.138349,0.250000,0.00001051,55000,2.09601332,2.54666783,2.83083759,75.69729614,74.99107361,150.32260491,0.96023172,0.89592659,46.10000000,0.21180572,293
56000,0.122682,0.250000,0.00000947,56000,2.08315872,2.53450649,2.78073117,75.47879791,74.57892609,154.71977564,0.95680213,0.89184145,50.27500000,0.22988905,298
57000,0.107016,0.250000,0.00000848,57000,2.07572286,2.52621875,2.76927052,75.53679657,74.92121124,153.65419553,0.95550227,0.88525955,49.20000000,0.22738905,303
58000,0.091349,0.250000,0.00000755,58000,2.07450210,2.52539006,2.80420828,75.59133148,75.93152618,156.59696477,0.95210495,0.87901952,52.30000000,0.23993360,308
59000,0.075682,0.250000,0.00000667,59000,2.07256978,2.52344466,2.83089263,75.84717560,74.84931183,155.72788182,0.95533758,0.89493878,50.45000000,0.23156399,314
60000,0.060016,0.250000,0.00000586,60000,2.08971987,2.54099338,2.82595584,75.53034973,74.58425903,154.85828295,0.95279548,0.89207216,51.68750000,0.23431399,319
61000,0.060000,0.250000,0.00000510,61000,2.07246554,2.52335362,2.81147459,75.66750336,72.57026672,156.20776232,0.95615062,0.89417544,47.92500000,0.21631399,324
62000,0.060000,0.250000,0.00000440,62000,2.06397621,2.51506888,2.83334939,75.40652466,74.00148773,152.41233153,0.96255563,0.90700766,42.07500000,0.18847308,330
63000,0.060000,0.250000,0.00000376,63000,2.05699233,2.50790498,2.81390624,75.11463165,74.01650238,151.90430748,0.95889400,0.90032791,46.23750000,0.20813490,336
64000,0.060000,0.250000,0.00000319,64000,2.09180578,2.54282977,2.81075869,75.45163727,75.50134277,152.59743832,0.96118822,0.90256607,45.17500000,0.20188490,341
65000,0.060000,0.250000,0.00000268,65000,2.08853807,2.53930864,2.80899123,75.56642151,75.04837036,143.91077644,0.96057404,0.91012001,48.40000000,0.22038490,347
66000,0.060000,0.250000,0.00000224,66000,2.05775632,2.50783236,2.76161738,75.77671051,75.33769989,149.25801416,0.95718154,0.90166880,51.40000000,0.23622581,352
67000,0.060000,0.250000,0.00000186,67000,2.06582344,2.51702817,2.76375467,75.42956543,75.71509552,148.91947552,0.95730742,0.90223254,53.02500000,0.24707018,358
68000,0.060000,0.250450,0.00000155,68000,2.08640869,2.53736781,2.78516103,74.97145844,75.34581757,144.73240575,0.96072557,0.91222782,51.22500000,0.24239160,364
69000,0.060000,0.250000,0.00000131,69000,2.05926321,2.50997744,2.79956020,75.20442963,75.20845795,144.44911435,0.96195814,0.90737669,48.41250000,0.22564160,369
70000,0.060000,0.250000,0.00000114,70000,2.08355661,2.53446005,2.82859522,75.13382721,75.30146027,144.99852740,0.96220849,0.90842275,47.05000000,0.21889160,374
71000,0.060000,0.250000,0.00000103,71000,2.08172186,2.53230406,2.81162825,75.05307007,74.60239410,154.83618869,0.95912336,0.89277198,48.11250000,0.21418956,379
72000,0.060000,0.250000,0.00000100,72000,2.07917222,2.53001869,2.79683743,74.87319183,73.54557037,161.76623363,0.95690183,0.87955970,48.03750000,0.21243956,384
