step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
37000,0.367653,0.403526,0.00003321,37000,2.11953859,2.57161325,2.64364396,74.43035889,73.04270172,126.453102,0.90691861,36.237500,0.165384,198
38000,0.350563,0.385264,0.00003130,38000,2.09170415,2.54282421,2.62210846,74.57418823,73.92730713,135.254262,0.89802309,36.987500,0.158823,203
39000,0.333472,0.366323,0.00002941,39000,2.10730365,2.55877458,2.60935732,74.37789154,72.75000763,134.726735,0.90385207,35.925000,0.156567,209
40000,0.316381,0.346823,0.00002755,40000,2.10610839,2.55789256,2.57735846,75.02670288,74.92935944,146.524784,0.89266481,37.962500,0.161234,214
41000,0.299290,0.326991,0.00002572,41000,2.10195512,2.55360756,2.60652058,75.09445953,74.11402893,148.755696,0.87730845,38.500000,0.164851,220
42000,0.282199,0.310168,0.00002393,42000,2.12067622,2.57278492,2.60473420,75.07662964,75.23025513,147.521548,0.88129597,38.087500,0.167209,225
43000,0.265108,0.289618,0.00002217,43000,2.10950622,2.56131610,2.62113010,75.03506470,75.14381409,157.438114,0.87798331,37.537500,0.161306,230
44000,0.248017,0.262721,0.00002047,44000,2.11440012,2.56638568,2.59518772,74.85237885,74.84690094,155.803400,0.86807250,37.137500,0.159796,236
45000,0.230926,0.239058,0.00001881,45000,2.11716067,2.56934524,2.62282078,75.15341949,74.57608795,157.016388,0.86617945,34.350000,0.147296,241
46000,0.213835,0.216730,0.00001720,46000,2.13138495,2.58314173,2.59909193,75.11283112,74.83712769,153.898811,0.86408015,33.025000,0.137982,246
47000,0.196744,0.196930,0.00001565,47000,2.11742552,2.56913010,2.63553180,75.20244598,74.47860718,154.561923,0.86300763,32.862500,0.135232,251
48000,0.179653,0.177055,0.00001416,48000,2.12827775,2.58004314,2.55481210,75.05765533,73.47615814,159.306430,0.86867658,34.575000,0.142262,256
49000,0.162563,0.157443,0.00001274,49000,2.12394289,2.57534153,2.55876391,74.85614777,74.92943573,159.192889,0.86593059,35.925000,0.151512,261
50000,0.145472,0.131830,0.00001139,50000,2.10200644,2.55314053,2.58729898,74.26380157,72.93740082,166.424421,0.86433898,35.700000,0.148750,266
51000,0.128381,0.109518,0.00001010,51000,2.11142084,2.56296981,2.54739277,74.51412964,74.87660980,169.360595,0.87449396,34.862500,0.147750,271
52000,0.111290,0.083643,0.00000889,52000,2.11428122,2.56583668,2.57546545,74.52824402,74.71492004,172.144274,0.88322171,32.862500,0.134750,276
53000,0.094199,0.055605,0.00000776,53000,2.08912554,2.53973786,2.61940879,74.05702972,72.98022461,169.609752,0.89583025,31.250000,0.129583,282
54000,0.077108,0.029790,0.00000671,54000,2.08337156,2.53523242,2.57866395,74.15988159,74.65161896,166.447727,0.90066468,30.100000,0.127814,287
55000,0.060017,0.020000,0.00000574,55000,2.10268965,2.55416251,2.60064254,74.49227142,73.42850494,161.582029,0.89998684,30.237500,0.132939,293
56000,0.060000,0.020000,0.00000485,56000,2.07150648,2.52235568,2.57843135,74.17256927,73.82876587,167.032929,0.89402593,31.962500,0.138856,298
57000,0.060000,0.020000,0.00000405,57000,2.07739458,2.52855285,2.59071489,74.11031342,73.38050079,167.575919,0.89462038,31.087500,0.134356,303
58000,0.060000,0.020000,0.00000334,58000,2.07330263,2.52443341,2.56195504,74.36573029,74.18305206,171.815620,0.89044535,33.187500,0.142375,308
59000,0.060000,0.020000,0.00000273,59000,2.07062006,2.52149521,2.57784927,74.09327698,74.31401825,170.046612,0.90493931,32.062500,0.137791,314
60000,0.060000,0.020000,0.00000220,60000,2.07186310,2.52293691,2.60100762,73.91841888,73.27470398,169.707346,0.90354798,35.112500,0.154041,319
61000,0.060000,0.020000,0.00000177,61000,2.07531900,2.52642106,2.57578603,74.34544373,74.54756165,170.939068,0.90964409,34.487500,0.150541,324
62000,0.060000,0.020000,0.00000143,62000,2.07329546,2.52462399,2.58641101,74.47726440,74.65650940,163.942183,0.91313216,29.212500,0.127813,330
63000,0.060000,0.020000,0.00000119,63000,2.10571646,2.55651487,2.54533382,74.39118195,74.43589783,164.922858,0.90895429,30.900000,0.133273,336
64000,0.060000,0.020000,0.00000105,64000,2.09142158,2.54246603,2.58376572,74.33172607,74.15823364,164.880018,0.90847759,28.275000,0.120523,341
65000,0.060000,0.020000,0.00000100,65000,2.06453627,2.51553641,2.54763317,74.17017365,74.71105194,156.609040,0.91429895,27.537500,0.119023,347
