step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
80000,0.415392,0.356836,0.00002474,80000,1.77716726,2.22020404,2.28931400,76.48660278,76.64065552,153.05629269,0.90496822,39.45000000,0.17032007,428
82000,0.400777,0.317791,0.00002372,82000,1.77955811,2.22230438,2.27890170,76.80972290,75.91575623,150.91168606,0.88694200,37.85000000,0.16470823,439
84000,0.386161,0.287130,0.00002270,84000,1.78749238,2.23038814,2.27691116,76.50526428,76.86175537,147.34583257,0.86801487,38.96250000,0.17454639,449
86000,0.371546,0.247396,0.00002168,86000,1.78680820,2.22962884,2.26616938,76.38536072,76.56811523,153.10468552,0.88534691,39.30000000,0.17491406,460
88000,0.356930,0.213159,0.00002067,88000,1.78000480,2.22296214,2.27688955,76.70913696,76.43441772,162.16582255,0.90247972,39.38750000,0.16835714,470
90000,0.342315,0.170482,0.00001967,90000,1.78917628,2.23202544,2.27305217,76.53933716,76.03806305,158.32901948,0.90461118,37.68750000,0.16879329,482
92000,0.327700,0.132210,0.00001868,92000,1.79431213,2.23713906,2.27362483,76.76360321,75.52774048,155.15329281,0.91287212,35.62500000,0.16542564,492
94000,0.313084,0.093311,0.00001770,94000,1.78854516,2.23116873,2.25842763,76.49121857,76.84730530,166.89762446,0.89999606,37.95000000,0.16998108,503
96000,0.298469,0.049723,0.00001673,96000,1.78569525,2.22862064,2.27088799,76.64527893,77.13142395,164.13685972,0.89276502,37.87500000,0.16976539,514
98000,0.283853,0.020000,0.00001578,98000,1.79171241,2.23465754,2.27392431,77.05138397,76.47497559,157.50736439,0.91092601,33.61250000,0.15337071,525
100000,0.269238,0.020000,0.00001484,100000,1.79562509,2.23854521,2.26007083,77.14515686,77.42942810,174.24232969,0.90818660,35.06250000,0.15482246,535
102000,0.254623,0.020000,0.00001392,102000,1.79271001,2.23563046,2.24320118,77.33497620,77.07759857,177.00349721,0.90345429,35.97500000,0.16074453,545
104000,0.240007,0.020000,0.00001302,104000,1.81097663,2.25405934,2.27431860,77.77229309,77.21191406,169.06111815,0.90515114,35.06250000,0.15993570,556
106000,0.225392,0.020000,0.00001214,106000,1.79797134,2.24113784,2.27794656,77.62318420,77.05579376,156.04314997,0.91307370,30.70000000,0.14478793,568
108000,0.210777,0.020000,0.00001129,108000,1.80108872,2.24421677,2.25659745,77.88824463,77.96090698,168.83093104,0.90431043,31.73750000,0.14377110,578
