step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
40000,0.373349,0.250000,0.00003073,40000,4.14142754,4.61501283,3.40679917,125.08672333,123.82498169,166.53074183,0.96915974,,40.33750000,0.13388332,214
41000,0.357682,0.250000,0.00002920,41000,4.12872713,4.60206528,3.40288752,125.57680511,125.37535858,170.39944968,0.96793230,,39.81250000,0.13162089,219
42000,0.342016,0.250000,0.00002769,42000,4.14435758,4.61777044,3.41500012,125.53519440,126.00624847,171.09636279,0.96872937,,37.66250000,0.12412089,224
43000,0.326349,0.250000,0.00002620,43000,4.13433008,4.60734583,3.45389558,125.23578644,125.26186371,176.72994777,0.96543691,,39.90000000,0.13002649,229
44000,0.310682,0.250000,0.00002472,44000,4.11059748,4.58419169,3.43794491,125.81994629,126.10952759,174.06692062,0.96886977,,39.27500000,0.12156078,235
45000,0.295016,0.250000,0.00002326,45000,4.10621551,4.57930037,3.41768638,125.92243195,124.64003754,176.93979759,0.96853951,,40.98750000,0.11535623,240
46000,0.279349,0.250000,0.00002183,46000,4.13346229,4.60646186,3.37881779,126.21468353,126.19347382,180.13775176,0.96978051,,41.25000000,0.10653429,245
47000,0.263682,0.250000,0.00002043,47000,4.14363676,4.61663625,3.37333810,126.37818146,123.64365387,174.65038127,0.97142178,,37.71250000,0.10007974,250
48000,0.248016,0.250000,0.00001906,48000,4.15910209,4.63234077,3.37732162,126.60938263,125.95839691,177.41822921,0.96676302,,36.93750000,0.10329545,255
49000,0.232349,0.250000,0.00001772,49000,4.12532292,4.59833069,3.41843628,126.08828735,124.43476105,177.45023927,0.96421995,,34.77500000,0.09804545,260
50000,0.216682,0.250000,0.00001641,50000,4.15011544,4.62326818,3.45486850,126.67620087,125.22863007,177.87199941,0.96386000,,32.80000000,0.09804545,265
51000,0.201016,0.250000,0.00001515,51000,4.11091890,4.58415152,3.43868045,126.92706299,126.92111206,184.54734582,0.96240860,,31.73750000,0.08900000,270
52000,0.185349,0.250000,0.00001392,52000,4.14602957,4.61891576,3.40553190,125.96081543,126.92610931,185.86381831,0.96530347,,28.78750000,0.07725000,275
53000,0.169682,0.250000,0.00001274,53000,4.15200034,4.62485180,3.42541366,126.86183929,125.99863434,181.29059252,0.96817171,,25.17500000,0.06401582,281
54000,0.154016,0.250000,0.00001160,54000,4.12752610,4.60050899,3.39157664,125.72991943,124.92127228,181.18756896,0.96578159,,23.67500000,0.05751582,286
55000,0.138349,0.250000,0.00001051,55000,4.14154660,4.61424468,3.41037166,126.12243652,126.46570587,175.84564035,0.97022827,,24.25000000,0.05071580,292
56000,0.122682,0.250000,0.00000947,56000,4.11656504,4.58914281,3.42594125,125.71783447,124.58917236,171.88279501,0.97013796,,22.78750000,0.04617819,297
57000,0.107016,0.250000,0.00000848,57000,4.11563992,4.58809451,3.41273588,125.96060944,123.66274261,178.12643752,0.97023117,,22.08750000,0.04241237,302
58000,0.091349,0.250000,0.00000755,58000,4.15771826,4.63026634,3.41919121,126.87402344,126.45127106,181.97839851,0.96641285,,22.42500000,0.04299727,307
59000,0.075682,0.250000,0.00000667,59000,4.13842844,4.61142970,3.41456886,126.11828613,125.96811676,183.17281326,0.96592657,,19.05000000,0.04207895,313
60000,0.060016,0.250000,0.00000586,60000,4.11384811,4.58627339,3.38048799,126.52753448,125.08685303,180.01554539,0.97035898,,16.82500000,0.03432895,318
61000,0.060000,0.250000,0.00000510,61000,4.12822153,4.60090667,3.41588002,126.46304321,126.45513153,180.47785959,0.96984242,,14.56250000,0.02932895,323
62000,0.060000,0.250000,0.00000440,62000,4.15684523,4.62941693,3.36672646,125.95731354,126.56996918,174.25266460,0.97509145,,12.86250000,0.02333982,329
63000,0.060000,0.250000,0.00000376,63000,4.15294417,4.62528386,3.40829162,125.85675049,123.85378265,175.55476145,0.97335193,,12.06250000,0.02026087,335
64000,0.060000,0.250000,0.00000319,64000,4.11524248,4.58805514,3.42810480,125.95050812,126.81697845,175.64126855,0.97572197,,13.61250000,0.01926087,340
65000,0.060000,0.250000,0.00000268,65000,4.14184091,4.61462376,3.44089041,126.71228027,125.70882416,166.46846569,0.97787358,,14.22500000,0.01976087,346
66000,0.060000,0.250000,0.00000224,66000,4.14880572,4.62129398,3.46496643,126.75832367,126.76898193,173.58450318,0.97506314,,14.31250000,0.01925000,351
67000,0.060000,0.250000,0.00000186,67000,4.09999007,4.57241441,3.36588742,126.16928864,126.31337738,175.96793298,0.97651154,,15.53750000,0.02137500,356
68000,0.060000,0.250000,0.00000155,68000,4.15588241,4.62828066,3.46067032,126.65429688,126.48294830,158.23009641,0.98108845,,14.82500000,0.02115331,363
69000,0.060000,0.250000,0.00000131,69000,4.13915158,4.61138229,3.40077514,126.36664581,124.01416016,166.68378470,0.98054439,,18.37500000,0.02140331,368
70000,0.060000,0.250000,0.00000114,70000,4.14468746,4.61764723,3.42690811,126.26633453,126.75240326,166.03185782,0.98097226,,21.32500000,0.02190331,373
71000,0.060000,0.250000,0.00000103,71000,4.16404907,4.63675522,3.37748343,126.30190277,123.29428864,173.21686571,0.97902945,,20.80000000,0.01891226,378
72000,0.060000,0.250000,0.00000100,72000,4.17420788,4.64656243,3.41456542,126.10260010,126.55309296,188.40778022,0.97614027,,21.52500000,0.01704240,383
