step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
40000,0.373349,0.250000,0.00003073,40000,2.74988976,3.21096926,2.90746523,87.07675171,86.99640656,166.66990782,0.96758444,,38.48750000,0.13213332,214
41000,0.357682,0.250000,0.00002920,41000,2.75953537,3.22091882,2.95891508,87.79861450,87.87625885,170.38186933,0.96587015,,38.20000000,0.12987089,219
42000,0.342016,0.250000,0.00002769,42000,2.76704292,3.22834432,2.92547614,87.36953735,87.60689545,171.08979458,0.96740977,,36.60000000,0.12337089,224
43000,0.326349,0.250000,0.00002620,43000,2.76841119,3.22924565,2.90205370,88.00832367,87.70089722,176.88043546,0.96272650,,37.10000000,0.12744735,229
44000,0.310682,0.250000,0.00002472,44000,2.75085405,3.21180960,2.93644484,87.32866669,87.06243134,174.46136466,0.96638186,,35.65000000,0.11898164,235
45000,0.295016,0.250000,0.00002326,45000,2.74671609,3.20776361,2.92868649,87.70891571,86.28356171,177.38993293,0.96558006,,36.76250000,0.11277709,240
46000,0.279349,0.250000,0.00002183,46000,2.74566495,3.20614840,2.94932552,87.52719879,87.57291412,180.61588800,0.96551766,,35.90000000,0.10503429,245
47000,0.263682,0.250000,0.00002043,47000,2.75269996,3.21294647,2.98098823,87.53530121,85.66320801,174.96006777,0.96784794,,33.58750000,0.09932974,250
48000,0.248016,0.250000,0.00001906,48000,2.78483167,3.24557127,2.96329631,87.71669769,88.18471527,177.76648463,0.96230117,,31.97500000,0.10154545,255
49000,0.232349,0.250000,0.00001772,49000,2.75359302,3.21391954,2.98428920,87.78192139,87.16933441,177.64517240,0.95988211,,30.52500000,0.09654545,260
50000,0.216682,0.250000,0.00001641,50000,2.76752857,3.22795252,2.94985890,88.07814789,87.09355927,177.82128222,0.96090329,,30.63750000,0.09654545,265
51000,0.201016,0.250000,0.00001515,51000,2.74326692,3.20417671,2.92830533,88.04919434,88.23687744,184.54521221,0.96125731,,30.82500000,0.08650000,270
52000,0.185349,0.250000,0.00001392,52000,2.77431548,3.23484408,2.92013753,87.81780243,87.76312256,185.77892712,0.96458214,,28.55000000,0.07550000,275
53000,0.169682,0.250000,0.00001274,53000,2.77336325,3.23437820,2.95604059,87.66266632,87.95333099,181.47796343,0.96893669,,25.03750000,0.06226582,281
54000,0.154016,0.250000,0.00001160,54000,2.75097572,3.21120183,2.87789996,88.02548981,86.54986572,181.65211192,0.96702618,,22.81250000,0.05626582,286
55000,0.138349,0.250000,0.00001051,55000,2.76875328,3.22907994,2.86643150,87.48284912,87.50196075,176.50353433,0.96922667,,20.82500000,0.04996580,292
56000,0.122682,0.250000,0.00000947,56000,2.75897496,3.21949645,2.98771557,87.53406525,86.31090546,172.53828362,0.96965070,,19.75000000,0.04542819,297
57000,0.107016,0.250000,0.00000848,57000,2.75478500,3.21550843,2.93833194,87.53339386,85.92000580,178.46238783,0.97023997,,20.72500000,0.04191237,302
58000,0.091349,0.250000,0.00000755,58000,2.76548828,3.22536808,2.91270125,87.36352539,87.65872955,182.33776152,0.96399184,,19.02500000,0.04199727,307
59000,0.075682,0.250000,0.00000667,59000,2.76941301,3.23009972,2.90197060,87.42531586,87.51593018,183.26112466,0.96483687,,17.82500000,0.04107895,313
60000,0.060016,0.250000,0.00000586,60000,2.76858938,3.22886330,2.91243432,87.44485474,87.09918976,180.43007090,0.96922848,,14.26250000,0.03307895,318
61000,0.060000,0.250000,0.00000510,61000,2.76536986,3.22561794,2.89044963,87.76937866,87.79648590,180.86093824,0.96972657,,12.93750000,0.02857895,323
62000,0.060000,0.250000,0.00000440,62000,2.77504339,3.23468628,2.92257052,87.82397461,87.82964325,174.76999305,0.97624059,,11.71250000,0.02233982,329
63000,0.060000,0.250000,0.00000376,63000,2.78274634,3.24302528,2.90699975,87.66952515,85.97185516,175.88867646,0.97530276,,12.28750000,0.01901087,335
64000,0.060000,0.250000,0.00000319,64000,2.74480349,3.20524368,2.97527973,87.69551849,87.61742401,175.99728262,0.97693954,,13.16250000,0.01801087,340
65000,0.060000,0.250000,0.00000268,65000,2.76256099,3.22304446,2.91367414,87.82796478,86.77309418,167.04873927,0.97886870,,12.70000000,0.01801087,346
66000,0.060000,0.250000,0.00000224,66000,2.77204424,3.23192005,2.94155085,87.92730713,87.49983978,173.85380463,0.97612840,,14.08750000,0.01775000,351
67000,0.060000,0.250000,0.00000186,67000,2.73484340,3.19460860,2.91104695,86.73368073,87.92446899,176.39339283,0.97698259,,14.21250000,0.01975000,356
68000,0.060000,0.250000,0.00000155,68000,2.75656553,3.21625089,2.91053948,87.20655060,87.58036041,159.08380687,0.97966624,,10.30000000,0.01949127,363
69000,0.060000,0.250000,0.00000131,69000,2.75490422,3.21476493,2.89711463,87.61844635,86.02136230,168.35358252,0.97709325,,8.96250000,0.01974127,368
70000,0.060000,0.250000,0.00000114,70000,2.75729308,3.21682269,2.93089440,87.29955292,87.66507721,167.84139785,0.97678232,,10.76250000,0.02024127,373
71000,0.060000,0.250000,0.00000103,71000,2.75991847,3.21948308,2.94865970,87.20870209,85.88372040,174.77397142,0.97483605,,11.22500000,0.01797733,378
72000,0.060000,0.250000,0.00000100,72000,2.78404028,3.24366252,2.86594392,87.70135498,87.32928467,190.13331932,0.97311716,,12.21250000,0.01604240,383
