step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
37000,0.420349,0.250000,0.00003534,37000,2.17465514,2.62716280,2.74770859,77.87164307,76.93582916,128.68295036,0.96785635,0.89125351,42.22500000,0.20678193,198
38000,0.404682,0.250000,0.00003380,38000,2.17777645,2.63070245,2.77058308,77.66570282,76.27921295,136.98303864,0.96345532,0.88405582,44.11250000,0.20388041,203
39000,0.389016,0.250000,0.00003226,39000,2.15741543,2.61011461,2.76376040,77.92413330,77.78165436,135.34932103,0.96612267,0.88673916,40.30000000,0.18715718,209
40000,0.373349,0.250000,0.00003073,40000,2.17808590,2.63091804,2.77097157,77.72888184,77.07543182,148.15042361,0.96487969,0.88507280,44.96250000,0.19100076,214
41000,0.357682,0.250000,0.00002920,41000,2.14816624,2.60039474,2.77715692,77.67716217,76.58100128,151.16635201,0.96164653,0.88401626,49.37500000,0.21403531,220
42000,0.342016,0.250000,0.00002769,42000,2.16716233,2.61911776,2.75190537,77.07819366,76.32063293,147.98231478,0.96285356,0.88023981,49.76250000,0.21818799,225
43000,0.326349,0.250000,0.00002620,43000,2.13395892,2.58605966,2.76129428,76.52610016,75.99394989,155.66298351,0.95825209,0.87219779,52.45000000,0.22326227,230
44000,0.310682,0.250000,0.00002472,44000,2.11248219,2.56414245,2.77482372,77.26575470,77.23207855,153.08234333,0.95591462,0.86088454,50.88750000,0.21644060,236
45000,0.295016,0.250000,0.00002326,45000,2.11101313,2.56307258,2.74060120,76.42008209,75.14955902,152.46973319,0.95749522,0.85755587,50.67500000,0.21319060,241
46000,0.279349,0.250000,0.00002183,46000,2.09922128,2.55084730,2.76705444,76.67551422,76.94557190,151.21163174,0.95665021,0.87263693,50.55000000,0.21950770,246
47000,0.263682,0.250000,0.00002043,47000,2.07978113,2.53132653,2.75318311,76.44728851,75.00564575,151.64421360,0.95849175,0.87703422,52.33750000,0.22975770,251
48000,0.248016,0.250000,0.00001906,48000,2.08481394,2.53628184,2.76571076,75.95377350,76.26065063,155.24918547,0.95461579,0.87985530,55.48750000,0.24589286,256
49000,0.232349,0.250000,0.00001772,49000,2.09517342,2.54652866,2.79422892,75.98857880,75.20511627,153.73354361,0.95076677,0.87174584,55.06250000,0.24714286,261
50000,0.216682,0.250000,0.00001641,50000,2.06447449,2.51556749,2.80524092,75.68394470,75.73490143,159.32703472,0.95161120,0.86501017,54.70000000,0.23625000,266
51000,0.201016,0.250000,0.00001515,51000,2.07427295,2.52490123,2.76633185,75.48104095,75.37992096,160.91633591,0.95247157,0.87497230,56.31250000,0.24550000,271
52000,0.185349,0.250000,0.00001392,52000,2.06435036,2.51497770,2.77424062,75.47406769,75.40442657,163.29819783,0.95708931,0.88672536,56.18750000,0.24175000,276
53000,0.169682,0.250000,0.00001274,53000,2.06511895,2.51587065,2.76558414,75.63159943,75.06031799,160.02686887,0.96118429,0.89905622,54.13750000,0.23858333,282
54000,0.154016,0.250000,0.00001160,54000,2.05297541,2.50347118,2.74673415,75.48685455,75.49770355,157.38495144,0.96067684,0.90703413,51.28750000,0.23300908,287
55000,0.138349,0.250000,0.00001051,55000,2.06177768,2.51258914,2.71363161,75.20275879,75.60850525,149.74463547,0.96032712,0.88877028,44.55000000,0.20788035,293
56000,0.122682,0.250000,0.00000947,56000,2.05756476,2.50837573,2.76755495,75.22198486,75.94046783,154.30762278,0.95617815,0.88350709,47.08750000,0.22029702,298
57000,0.107016,0.250000,0.00000848,57000,2.05002211,2.50058746,2.71241957,75.64878082,75.73403931,153.20159013,0.95402913,0.87627380,45.72500000,0.21804702,303
58000,0.091349,0.250000,0.00000755,58000,2.06471597,2.51542049,2.77786199,75.75525665,75.41123199,156.90048062,0.95054704,0.87762763,51.81250000,0.24437127,308
59000,0.075682,0.250000,0.00000667,59000,2.05686785,2.50755172,2.76427813,75.40304565,75.69113922,154.13036318,0.95378119,0.88402574,51.32500000,0.24726422,314
60000,0.060016,0.250000,0.00000586,60000,2.06479317,2.51576007,2.75031290,75.27460480,75.76781464,152.51097991,0.95048398,0.87367882,49.52500000,0.23901422,319
61000,0.060000,0.250000,0.00000510,61000,2.02974697,2.48032884,2.74913824,75.54089355,75.68814850,154.13624031,0.95509972,0.88193012,49.62500000,0.23551422,324
62000,0.060000,0.250000,0.00000440,62000,2.07333056,2.52425006,2.78045730,75.12442780,75.32505035,150.84239668,0.96127835,0.90327340,48.67500000,0.24251422,330
63000,0.060000,0.250000,0.00000376,63000,2.05055737,2.50096705,2.74136602,75.21085358,75.45308685,149.71801175,0.95779620,0.89237131,50.02500000,0.24954032,336
64000,0.060000,0.250000,0.00000319,64000,2.04192777,2.49265238,2.78314045,74.81982422,75.19808197,150.06335426,0.95922325,0.89491052,50.67500000,0.25579032,341
65000,0.060000,0.250000,0.00000268,65000,2.06405484,2.51440438,2.74704401,75.39846039,74.96548462,141.40172646,0.95835468,0.89455551,47.23750000,0.25642669,347
66000,0.060000,0.250000,0.00000224,66000,2.05154704,2.50199976,2.75852270,75.25431061,74.36593628,146.45358860,0.95507009,0.87614294,43.50000000,0.22842669,352
67000,0.060000,0.250000,0.00000186,67000,2.06061896,2.51123754,2.78270720,75.32632446,75.43389130,148.53010999,0.95450502,0.89270490,45.12500000,0.23815488,358
68000,0.060000,0.250000,0.00000155,68000,2.06115657,2.51147999,2.75010107,75.36425018,74.63426971,144.29670920,0.95892034,0.90205352,42.93750000,0.22469709,364
69000,0.060000,0.250000,0.00000131,69000,2.06951462,2.51997957,2.73187784,75.05307770,73.28424835,144.89148749,0.96019426,0.91005867,46.96250000,0.24269709,369
70000,0.060000,0.250000,0.00000114,70000,2.03297823,2.48327283,2.73709536,74.97931671,75.06381989,145.35787659,0.96130063,0.91682811,50.51250000,0.25894709,374
71000,0.060000,0.250000,0.00000103,71000,2.03893823,2.48970274,2.76668061,75.17688751,74.04084015,157.22197501,0.95804683,0.91027950,52.80000000,0.25789725,379
72000,0.060000,0.250000,0.00000100,72000,2.05636355,2.50632515,2.73146206,74.87915039,73.99427032,164.78858916,0.95495749,0.90353444,55.53750000,0.26339725,384
