kind,stack_k,ablation,artifact_suffix,no_teacher_reward,ckpt,metrics_csv,exit_code,final_step,final_epsilon,final_lambda_cost,final_lr,final_buffer_size,final_loss_mean,final_td_abs_mean,final_grad_norm_mean,final_q_pred_mean,final_q_target_mean,final_ep_ret_ma,final_ep_consistency_ma,final_ep_teacher_iou_ma,final_ep_comp_ma,final_ep_full_frac_ma,final_episodes_done
stack_k,1,none,,0,/Users/canhe/dev/CS5180/RL_project/stage_3/checkpoints/dqn_stage3_sk1_ablnone.pt,/Users/canhe/dev/CS5180/RL_project/stage_3/outputs/train_metrics_sk1_ablnone.csv,0,72000,0.06,0.25,1e-06,72000,2.20485763,2.65910592,2.72292075,73.47064972,72.40365601,158.84084408,0.95650013,0.85578495,42.275,0.18701376,384
stack_k,2,none,,0,/Users/canhe/dev/CS5180/RL_project/stage_3/checkpoints/dqn_stage3_sk2_ablnone.pt,/Users/canhe/dev/CS5180/RL_project/stage_3/outputs/train_metrics_sk2_ablnone.csv,0,72000,0.06,0.25,1e-06,72000,2.08721637,2.53836736,2.66329403,74.69971466,74.84474182,161.79772661,0.95485644,0.86857215,40.2875,0.18719326,384
stack_k,4,none,,0,/Users/canhe/dev/CS5180/RL_project/stage_3/checkpoints/dqn_stage3_sk4_ablnone.pt,/Users/canhe/dev/CS5180/RL_project/stage_3/outputs/train_metrics_sk4_ablnone.csv,0,72000,0.06,0.25,1e-06,72000,2.04290955,2.49255169,2.75937796,75.18830109,73.89144135,160.95667466,0.95765761,0.86936452,44.8375,0.19176444,384
stack_k,8,none,,0,/Users/canhe/dev/CS5180/RL_project/stage_3/checkpoints/dqn_stage3_sk8_ablnone.pt,/Users/canhe/dev/CS5180/RL_project/stage_3/outputs/train_metrics_sk8_ablnone.csv,0,72000,0.06,0.25,1e-06,72000,2.05636355,2.50632515,2.73146206,74.87915039,73.99427032,164.78858916,0.95495749,0.90353444,55.5375,0.26339725,384
