kind,variant,artifact_suffix,stack_k,no_teacher_reward,ckpt,metrics_csv,exit_code,final_step,final_epsilon,final_lambda_cost,final_lr,final_buffer_size,final_loss_mean,final_td_abs_mean,final_grad_norm_mean,final_q_pred_mean,final_q_target_mean,final_ep_ret_ma,final_ep_consistency_ma,final_ep_teacher_iou_ma,final_ep_comp_ma,final_ep_full_frac_ma,final_episodes_done
stage4_62,baseline62,_teacher,4,0,/Users/canhe/dev/CS5180/RL_project/stage_4/checkpoints/dqn_stage4_baseline62_teacher.pt,/Users/canhe/dev/CS5180/RL_project/stage_4/outputs/train_metrics_baseline62_teacher.csv,0,72000,0.06,0.25,1e-06,72000,2.04290955,2.49255169,2.75937796,75.18830109,73.89144135,160.95667466,0.95765761,0.86936452,44.8375,0.19176444,384
stage4_62,ssf05,_teacher,4,0,/Users/canhe/dev/CS5180/RL_project/stage_4/checkpoints/dqn_stage4_ssf05_teacher.pt,/Users/canhe/dev/CS5180/RL_project/stage_4/outputs/train_metrics_ssf05_teacher.csv,0,72000,0.06,0.25,1e-06,72000,2.07917222,2.53001869,2.79683743,74.87319183,73.54557037,161.76623363,0.95690183,0.8795597,48.0375,0.21243956,384
stage4_62,nstep3,_teacher,4,0,/Users/canhe/dev/CS5180/RL_project/stage_4/checkpoints/dqn_stage4_nstep3_teacher.pt,/Users/canhe/dev/CS5180/RL_project/stage_4/outputs/train_metrics_nstep3_teacher.csv,0,72000,0.06,0.25,1e-06,71998,2.77642107,3.22477097,2.86657243,77.69429016,73.76569366,165.87089013,0.95776911,0.91510223,60.2125,0.26568049,384
stage4_62,epstail,_teacher,4,0,/Users/canhe/dev/CS5180/RL_project/stage_4/checkpoints/dqn_stage4_epstail_teacher.pt,/Users/canhe/dev/CS5180/RL_project/stage_4/outputs/train_metrics_epstail_teacher.csv,0,72000,0.03,0.25,1e-06,72000,2.03638105,2.48649975,2.76328222,75.51187897,75.68151093,160.93338924,0.95688794,0.86397141,40.6875,0.17633026,384
stage4_62,ioufloor,_teacher,4,0,/Users/canhe/dev/CS5180/RL_project/stage_4/checkpoints/dqn_stage4_ioufloor_teacher.pt,/Users/canhe/dev/CS5180/RL_project/stage_4/outputs/train_metrics_ioufloor_teacher.csv,0,72000,0.06,0.25,1e-06,72000,2.04290955,2.49255169,2.75937796,75.18830109,73.89144135,160.95667466,0.95765761,0.86936452,44.8375,0.19176444,384
stage4_62,combo_ssf_n3,_teacher,4,0,/Users/canhe/dev/CS5180/RL_project/stage_4/checkpoints/dqn_stage4_combo_ssf_n3_teacher.pt,/Users/canhe/dev/CS5180/RL_project/stage_4/outputs/train_metrics_combo_ssf_n3_teacher.csv,0,72000,0.06,0.25,1e-06,71998,2.77965016,3.22798132,2.90703271,77.36455536,73.72408295,165.56336714,0.95738682,0.91160907,57.45,0.25216001,384
