step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
40000,0.373349,0.250000,0.00003073,40000,2.63211086,3.09182370,2.89247860,87.24539185,86.41579437,166.56182642,0.96878820,,39.88750000,0.13213332,214
41000,0.357682,0.250000,0.00002920,41000,2.61663975,3.07628480,2.83849405,87.09813690,87.37643433,170.27324014,0.96601106,,38.75000000,0.12987089,219
42000,0.342016,0.250000,0.00002769,42000,2.64003411,3.10002487,2.84862817,87.88018799,87.50402832,171.08419194,0.96726894,,36.51250000,0.12337089,224
43000,0.326349,0.250000,0.00002620,43000,2.64765745,3.10764203,2.89991227,88.01876068,87.52419281,176.76464968,0.96284318,,37.63750000,0.12744735,229
44000,0.310682,0.250000,0.00002472,44000,2.62516556,3.08517749,2.85177742,88.01265717,88.27740479,174.31683902,0.96573332,,35.78750000,0.11898164,235
45000,0.295016,0.250000,0.00002326,45000,2.64292004,3.10255062,2.91759107,88.19461060,86.76944733,177.47505745,0.96248362,,34.02500000,0.11302709,240
46000,0.279349,0.250000,0.00002183,46000,2.64724854,3.10717779,2.86158253,87.95732880,88.02590942,180.72147331,0.96203343,,32.78750000,0.10528429,245
47000,0.263682,0.250000,0.00002043,47000,2.64445328,3.10444728,2.83741729,87.90531158,85.96990204,175.10187035,0.96412291,,30.13750000,0.09957974,250
48000,0.248016,0.250000,0.00001906,48000,2.65092714,3.11029075,2.88965389,87.93569183,87.80735016,177.85227127,0.96071448,,30.36250000,0.10179545,255
49000,0.232349,0.250000,0.00001772,49000,2.63258368,3.09224047,2.83049632,88.57727051,87.29855347,177.72004631,0.96005336,,30.36250000,0.09654545,260
50000,0.216682,0.250000,0.00001641,50000,2.64251192,3.10212919,2.86685080,87.85024261,87.25373077,177.73093243,0.96199841,,31.87500000,0.09654545,265
51000,0.201016,0.250000,0.00001515,51000,2.62184716,3.08146286,2.87725389,87.52380371,87.94625092,184.73150552,0.96140753,,30.20000000,0.08650000,270
52000,0.185349,0.250000,0.00001392,52000,2.64490674,3.10421976,2.83426628,87.64135742,87.45371246,185.81155249,0.96540151,,29.07500000,0.07550000,275
53000,0.169682,0.250000,0.00001274,53000,2.62996230,3.08892026,2.85032187,87.69915771,88.20401764,181.52544371,0.96828347,,24.32500000,0.06226582,281
54000,0.154016,0.250000,0.00001160,54000,2.61911471,3.07840977,2.84436771,87.43143463,86.81112671,181.58720896,0.96521729,,21.62500000,0.05626582,286
