step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
39000,0.333472,0.250000,0.00002941,39000,2.24851745,2.70242681,2.64357808,75.83104706,74.17544556,132.249313,0.96632975,0.87218103,42.050000,0.200286,209
40000,0.316381,0.250000,0.00002755,40000,2.23625930,2.69058360,2.61374364,76.21775055,76.05858612,144.101258,0.96408379,0.86314388,44.612500,0.200088,214
41000,0.299290,0.250000,0.00002572,41000,2.23207748,2.68641607,2.68547574,76.10974121,75.22600555,146.326824,0.96133641,0.84827386,41.275000,0.182975,220
42000,0.282199,0.250000,0.00002393,42000,2.24988647,2.70451714,2.63637310,75.83456421,76.26413727,146.002812,0.96169999,0.86427214,42.650000,0.197384,225
43000,0.265108,0.250000,0.00002217,43000,2.23917209,2.69349432,2.66355534,76.07190704,76.03054047,153.935884,0.95726476,0.85277466,40.650000,0.176851,230
44000,0.248017,0.250000,0.00002047,44000,2.23687687,2.69097614,2.63295488,75.69011688,75.99171448,150.879571,0.95523977,0.83949650,40.200000,0.175566,236
45000,0.230926,0.250000,0.00001881,45000,2.23927462,2.69360450,2.64323161,75.76641083,75.23889160,151.669635,0.95582704,0.84163432,38.750000,0.170566,241
46000,0.213835,0.250000,0.00001720,46000,2.25162202,2.70571002,2.66990287,75.89340973,75.70598602,148.308191,0.95663398,0.84028088,37.200000,0.166774,246
47000,0.196744,0.250000,0.00001565,47000,2.23188134,2.68586883,2.64642539,75.92151642,75.30397797,148.058156,0.95849451,0.83887446,37.075000,0.166524,251
48000,0.179653,0.250000,0.00001416,48000,2.24161404,2.69532659,2.57732468,75.60467529,74.03004456,148.485731,0.95515296,0.82300678,37.062500,0.162329,256
49000,0.162563,0.250000,0.00001274,49000,2.23185771,2.68556255,2.54704320,75.14760590,75.28153229,142.508970,0.95265052,0.79170110,35.925000,0.158829,261
50000,0.145472,0.250000,0.00001139,50000,2.20678207,2.66034242,2.61312087,74.61066437,73.48086548,148.330186,0.95258800,0.78738530,36.587500,0.152000,266
51000,0.128381,0.250000,0.00001010,51000,2.21388271,2.66712158,2.59828188,74.86112213,75.29288483,151.241655,0.95330562,0.80225515,36.837500,0.154750,271
52000,0.111290,0.250000,0.00000889,52000,2.21262943,2.66602045,2.61558270,74.81054688,74.77928162,157.123595,0.95654303,0.83908673,42.775000,0.184500,276
53000,0.094199,0.250000,0.00000776,53000,2.18659409,2.63965501,2.65072888,74.19012451,73.04290771,156.837463,0.95988531,0.86978107,43.475000,0.200167,282
54000,0.077108,0.250000,0.00000671,54000,2.17379696,2.62699740,2.61422605,74.02970123,74.58107758,153.605545,0.96031028,0.87812147,43.275000,0.203573,287
55000,0.060017,0.250000,0.00000574,55000,2.19490107,2.64816981,2.64263886,74.60947418,73.39820862,147.777020,0.95938830,0.88297264,46.250000,0.236095,293
56000,0.060000,0.250000,0.00000485,56000,2.16119887,2.61421226,2.62045419,74.10465240,73.42371368,152.081010,0.95593817,0.87207071,45.312500,0.223679,298
57000,0.060000,0.250000,0.00000405,57000,2.15826192,2.61105523,2.61322890,73.72145844,73.01715851,152.402117,0.95385097,0.87392625,45.512500,0.225929,303
58000,0.060000,0.250000,0.00000334,58000,2.15532479,2.60788676,2.59751828,73.84395599,73.87831116,154.320302,0.94911996,0.85815780,45.025000,0.222773,308
59000,0.060000,0.250000,0.00000273,59000,2.15156807,2.60444999,2.60582555,73.68551636,73.91042328,151.669838,0.95220102,0.85881794,39.175000,0.194878,314
60000,0.060000,0.250000,0.00000220,60000,2.15293142,2.60541960,2.60609960,73.54489899,72.65438843,150.431818,0.94882270,0.85492472,41.012500,0.204378,319
61000,0.060000,0.250000,0.00000177,61000,2.14706381,2.59976704,2.58485971,73.70728302,73.78952026,152.939924,0.95312239,0.87218400,44.787500,0.220128,324
62000,0.060000,0.250000,0.00000143,62000,2.14134673,2.59382712,2.59748262,73.74771881,73.85855103,150.879308,0.96041163,0.90536529,48.375000,0.249173,330
63000,0.060000,0.250000,0.00000119,63000,2.17917012,2.63152341,2.62782624,73.69779205,73.73540497,150.712727,0.95628725,0.89645426,49.312500,0.254562,336
64000,0.060000,0.250000,0.00000105,64000,2.15348273,2.60606535,2.61395633,73.46160126,73.06636810,150.405635,0.95892309,0.88991880,45.312500,0.233312,341
65000,0.060000,0.250000,0.00000100,65000,2.12619593,2.57888956,2.57976186,73.26826477,73.73728180,141.675505,0.95835513,0.88429940,37.937500,0.199812,347
